id;nome;popularidade;seguidores;genero;spotify;imagem
64KEffDW9EtZ1y2vBYgq8T;Marshmello;88;23993190;['brostep', 'progressive electro house'];https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T;https://i.scdn.co/image/b378853a6838299aeb068851850dfa8f5d18832a
0C8ZW7ezQVs4URX5aX7Kqx;Selena Gomez;88;20650627;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx;https://i.scdn.co/image/dc6dd5ccdccee8c947b41af13e3b60ce0a235708
7c0XG5cIJTrrAgEC3ULPiq;Ty Dolla $ign;88;3246633;['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul'];https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq;https://i.scdn.co/image/6d0222ada3a614c277aaff64fb1d7eb84a34644b
1Cs0zKBU1kc0i8ypK3B9ai;David Guetta;88;21110001;dance pop;https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai;https://i.scdn.co/image/3a8476a71714e7718a41a1157c40f93abb8cc750
3YQKmKGau1PzlVlkL1iodx;Twenty One Pilots;87;16958892;['modern rock', 'rock'];https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx;https://i.scdn.co/image/19e8f3bc875b7a4b9cf0041a5ee696c4be5478aa
7gZfnEnfiaHzxARJ2LeXrf;6ix9ine;87;4867522;['emo rap'];https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf;https://i.scdn.co/image/cb2fa696eab4e8295ed211d1a051027145afa10a
5zctI4wO9XSKS8XwcnqEHk;Lil Mosey;87;2102864;['melodic rap', 'rap conscient', 'trap', 'vapor trap'];https://open.spotify.com/artist/5zctI4wO9XSKS8XwcnqEHk;https://i.scdn.co/image/cb7532053adb92b2523c1afaa5541d8dde3f045a
6jJ0s89eD6GaHleKKya26X;Katy Perry;87;15370339;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X;https://i.scdn.co/image/1f7e93fb9ef379d511f94ebd832bf336d41926c6
4npEfmQ6YuiwW1GpUmaq3F;Ava Max;87;1607019;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F;https://i.scdn.co/image/17dd5fa37e315ddd1267d8ebf3eccdf127ba8548
7vk5e3vY1uw9plTHJAMwjN;Alan Walker;87;21249784;electro house;https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN;https://i.scdn.co/image/c5c098af718b187525fb2f78527ebf89ea1b0466
7CajNmpbOovFoOoasH2HaY;Calvin Harris;87;19897124;['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance'];https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY;https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
5Rl15oVamLq7FbSb0NNBNy;5 Seconds of Summer;87;6122054;['boy band', 'dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy;https://i.scdn.co/image/8ef3c09019477060d8fb06ecac36a79b5ed1b730
69GGBxA162lTqCwzJG5jLp;The Chainsmokers;87;16058779;edm;https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp;https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
7rkW85dBwwrJtlHRDkJDAC;NAV;86;1999220;['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap'];https://open.spotify.com/artist/7rkW85dBwwrJtlHRDkJDAC;https://i.scdn.co/image/e0f3324c861ef74bc480238db078d91cd384e311
